oid,num_detections,redshift,distance_mpcZTF17aaaaaby,24,distance_mpc,first_mjd,last_mjd,first_utc,last_utc,duration_days,peak_luminosity,r_squared
ZTF17aaaadty,111,N/A (No catsHTM match),,,,58296.337187500205,60871.319004599936,2018-06-27T08:05:33.000017664+00:00,2025-07-15T07:39:21.997434624+00:00,2574.9818170997314,N/A,-1.9739509129479416e-06
ZTF17aaaadua,20,N/A (No catsHTM match),,,,58437.21828699997,60886.27532410016,2018-11-15T05:14:19.996797184+00:00,2025-07-30T06:36:28.002254080+00:00,2449.057037100196,N/A,0.15431335294824566
ZTF17aaaadue,150,N/A (No catsHTM match),,,,58369.46519679995,60887.49333330011,2018-09-08T11:09:53.003515904+00:00,2025-07-31T11:50:23.997129472+00:00,2518.0281365001574,N/A,-2.314356179811128e-06
ZTF17aaaadvn,53,N/A (No catsHTM match),,,,58303.36851850012,58482.1013656999,2018-07-04T08:50:39.998410752+00:00,2018-12-30T02:25:57.996471296+00:00,178.73284719977528,N/A,0.18728123745770275
ZTF17aaaadvr,135,N/A (No catsHTM match),,,,58279.44949069992,60927.21644680016,2018-06-10T10:47:15.996472832+00:00,2025-09-09T05:11:41.003533568+00:00,2647.7669561002403,N/A,-1.990515845040619e-06
ZTF17aaaadvy,144,N/A (No catsHTM match),,,,58312.40335649997,60972.20287040016,2018-07-13T09:40:50.001597440+00:00,2025-10-24T04:52:08.002573568+00:00,2659.799513900187,N/A,0.7064667845733541
ZTF17aaaadwg,53,N/A (No catsHTM match),,,,58291.42356480006,60434.44820600003,2018-06-22T10:09:55.998725376+00:00,2024-05-04T10:45:24.998402560+00:00,2143.0246411999688,N/A,0.18052231367306226
ZTF17aaaadwm,105,N/A (No catsHTM match),,,,58286.430092600174,60636.283703700174,2018-06-17T10:19:20.000655104+00:00,2024-11-22T06:48:31.999695104+00:00,2349.8536110999994,N/A,-2.4483237506256472e-06
ZTF17aaaadwo,145,N/A (No catsHTM match),,,,58286.430092600174,60840.42362269992,2018-06-17T10:19:20.000655104+00:00,2025-06-14T10:10:01.001273088+00:00,2553.993530099746,N/A,0.0021873899814673914
ZTF17aaaadwp,22,N/A (No catsHTM match),,,,58291.42356480006,60848.44945599977,2018-06-22T10:09:55.998725376+00:00,2025-06-22T10:47:12.998380032+00:00,2557.025891199708,N/A,0.09752692983923017
ZTF17aaaadwq,29,N/A (No catsHTM match),,,,58303.42519679992,60917.29057870014,2018-07-04T10:12:17.003512576+00:00,2025-08-30T06:58:25.999691776+00:00,2613.865381900221,N/A,0.08493406884052679
ZTF17aaaadxd,51,N/A (No catsHTM match),,,,58283.4287963002,60891.27674769983,2018-06-14T10:17:28.000337152+00:00,2025-08-04T06:38:31.001265152+00:00,2607.847951399628,N/A,-2.496932729245671e-06
